Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635559051.0264728,0,0,1.0,30.8
1635559057.9974852,0,0,1.0,26.2
1635559064.2728596,0,0,1.0,30.0
1635559070.8451743,0,0,1.0,28.2
1635559077.5341656,0,0,1.0,27.0
1635559084.120987,0,0,1.0,34.0
1635559090.58356,0,0,1.0,31.6
1635559097.2594516,0,0,1.0,33.6
1635559103.6836905,0,0,1.0,30.2
1635559109.8021123,0,0,1.0,38.0
1635559116.3778574,0,0,1.0,33.6
1635559123.015756,0,0,1.0,32.6
1635559129.4854662,0,0,1.0,34.2
1635559136.3628194,0,0,1.0,33.0
1635559143.1523018,0,0,1.0,25.0
1635559150.0166848,0,0,1.0,32.8
1635559157.1913574,0,0,2.0,30.0
1635559163.961892,0,0,2.0,32.6
1635559170.788686,0,0,2.0,31.0
1635559178.0022092,0,0,3.0,27.0
1635559185.087771,0,0,3.0,29.2
1635559192.040437,0,0,3.0,32.2
1635559198.896496,0,0,3.0,30.8
1635559206.0019538,0,0,3.0,31.8
1635559213.1996167,0,0,3.0,35.2
1635559220.6006238,0,0,2.5,34.4
1635559227.6925256,0,0,2.0,32.0
1635559235.075756,0,0,3.0,30.8
1635559242.7284284,0,0,3.0,32.4
1635559250.0859933,0,0,3.0,32.8
1635559257.6959968,0,0,3.0,34.2
1635559265.1687446,0,0,3.0,34.8
1635559272.7898588,0,0,2.0,33.2
1635559280.248708,0,0,2.5,32.4
1635559288.113488,0,0,2.0,35.0
1635559295.3959584,0,0,2.0,31.8
1635559303.3300996,0,0,2.0,23.4
1635559310.873831,0,0,2.0,22.8
1635559318.3538637,0,0,2.0,23.4
1635559326.148499,0,0,2.0,22.6
1635559334.2216046,0,0,2.0,23.4
1635559342.0935543,0,0,2.0,27.8
1635559350.1712978,0,0,2.0,22.8
1635559358.233806,0,0,2.0,22.2
1635559365.7942262,0,0,2.0,25.4
1635559373.812522,0,0,2.0,23.8
1635559380.778834,0,0,2.0,23.4
1635559389.0554073,0,0,2.0,29.4
1635559397.362677,0,0,2.0,28.2
1635559404.7074778,0,0,3.0,27.8
1635559412.9411068,0,0,3.0,28.2
1635559421.2525296,0,0,3.0,26.6
1635559429.826365,0,0,3.0,33.2
