Time,PM 1.0,Unc 1.0,PM 2.5,Unc 2.5,PM 10,Unc. 10
1635565243.903123,9.0,0.0,13.0,0.0,16.0,0.0
1635565249.142456,9.0,0.0,13.0,0.0,16.2,0.39999999999999997
1635565254.561971,9.0,0.0,13.0,0.0,16.0,0.0
1635565260.266147,9.0,0.0,13.0,0.0,16.6,0.4898979485566356
1635565265.949551,9.0,0.0,13.0,0.0,16.0,0.6324555320336759
1635565271.649748,9.8,0.39999999999999997,14.4,0.7999999999999999,16.4,0.7999999999999999
1635565277.283687,10.0,0.0,14.0,0.0,16.6,0.4898979485566356
1635565282.538655,10.2,0.4,14.6,0.8,17.8,0.39999999999999997
1635565288.206284,11.0,0.0,17.0,0.0,18.0,0.0
1635565293.910661,11.0,0.0,16.6,0.4898979485566356,18.0,0.0
1635565299.664884,11.8,0.39999999999999997,16.4,0.4898979485566356,18.0,0.0
1635565305.33879,11.8,0.39999999999999997,16.4,0.4898979485566356,18.0,0.0
1635565311.011033,12.0,0.0,17.0,0.0,18.0,0.0
1635565316.276965,12.0,0.0,16.2,0.39999999999999997,18.0,0.0
1635565321.941294,11.8,0.4,15.8,0.4,17.4,0.8
1635565327.602774,11.0,0.0,15.0,0.0,16.0,0.0
1635565333.276919,11.0,0.0,14.2,0.39999999999999997,15.4,0.48989794855663565
1635565339.015601,11.0,0.0,14.0,0.0,15.0,0.0
1635565344.656992,10.8,0.4,14.0,0.0,15.2,0.4
1635565349.923118,10.0,0.0,14.0,0.0,16.0,0.0
1635565355.151059,10.2,0.4,14.0,0.0,16.0,0.0
1635565360.418005,11.0,0.0,14.0,0.0,16.0,0.0
1635565365.702469,11.0,0.0,14.0,0.0,16.0,0.0
1635565371.009548,10.8,0.4,14.0,0.0,16.0,0.0
1635565376.271342,10.0,0.0,14.0,0.0,16.0,0.0
1635565381.556289,10.2,0.4,14.0,0.0,16.0,0.0
1635565386.809905,11.0,0.0,14.0,0.0,16.8,0.7483314773547883
1635565392.062489,10.2,0.7483314773547883,13.8,0.4,17.0,0.6324555320336759
1635565397.331898,9.0,0.0,13.0,0.0,16.0,0.0
1635565402.616041,9.0,0.0,13.0,0.0,16.0,0.0
1635565407.892735,9.0,0.0,13.0,0.0,15.2,0.39999999999999997
1635565413.17129,9.0,0.0,13.0,0.0,15.0,0.0
1635565418.402391,9.0,0.0,13.0,0.0,15.0,0.0
1635565423.675682,9.0,0.0,13.0,0.0,15.0,0.0
1635565428.969514,9.0,0.0,13.0,0.0,15.0,0.0
1635565434.215543,9.0,0.0,13.0,0.0,15.0,0.0
1635565439.545187,9.0,0.0,13.0,0.0,15.0,0.0
1635565444.833795,9.0,0.0,12.0,0.0,14.2,0.39999999999999997
1635565450.085678,9.0,0.0,12.0,0.0,14.0,0.0
1635565455.424702,9.0,0.0,12.0,0.0,15.0,0.0
1635565460.720693,9.0,0.0,12.0,0.0,14.8,0.4
1635565465.971218,9.0,0.0,12.0,0.0,14.0,0.0
1635565471.258051,9.0,0.0,12.2,0.39999999999999997,15.2,0.7483314773547883
1635565476.653577,9.0,0.0,12.0,0.0,16.0,0.0
1635565481.942945,9.0,0.0,12.2,0.4,16.0,0.0
1635565487.191254,9.0,0.0,13.0,0.0,16.0,0.0
1635565492.446266,9.0,0.0,13.0,0.0,16.0,0.0
1635565497.703622,9.0,0.0,12.6,0.48989794855663565,14.6,1.0198039027185568
1635565502.960283,9.0,0.0,12.0,0.0,13.0,0.0
1635565508.249528,9.0,0.0,12.4,0.48989794855663565,13.6,0.48989794855663565
1635565513.502523,9.0,0.0,13.0,0.0,14.8,0.39999999999999997
1635565518.791843,9.0,0.0,12.6,0.48989794855663565,15.0,0.0
1635565524.044928,9.8,0.9797958971132713,13.4,0.48989794855663565,15.6,0.48989794855663565
1635565529.272286,9.8,0.7483314773547882,13.4,0.4898979485566356,16.0,0.0
1635565534.609916,9.2,0.39999999999999997,13.2,0.39999999999999997,15.6,0.48989794855663565
1635565539.877179,9.0,0.0,13.0,0.0,15.0,0.0
1635565545.113094,9.0,0.0,13.0,0.0,15.0,0.0
1635565550.361774,9.4,0.48989794855663565,13.4,0.48989794855663565,15.8,0.39999999999999997
1635565555.608457,9.0,0.0,13.0,0.0,15.0,0.0
1635565560.852322,9.0,0.0,13.0,0.0,15.0,0.0
1635565566.100168,9.0,0.0,13.0,0.0,15.0,0.0
1635565571.358304,9.0,0.0,13.0,0.0,15.0,0.0
1635565576.601771,9.0,0.0,13.0,0.0,15.4,0.48989794855663565
1635565581.906768,9.0,0.0,13.0,0.0,15.2,0.39999999999999997
1635565587.174653,9.0,0.0,13.0,0.0,15.0,0.0
1635565592.406246,10.0,0.0,13.0,0.0,15.4,0.48989794855663565
1635565597.683282,10.0,0.0,13.0,0.0,15.0,0.0
1635565602.951798,10.0,0.0,13.0,0.0,16.0,0.0
1635565608.188155,10.0,0.0,13.8,0.39999999999999997,16.0,0.0
1635565613.443382,10.0,0.0,14.0,0.0,16.0,0.0
1635565618.698674,10.2,0.4,14.0,0.0,16.0,0.0
1635565623.971277,10.8,0.4,14.0,0.0,16.0,0.0
1635565629.237429,10.0,0.0,14.0,0.0,17.0,0.0
1635565634.51204,10.0,0.0,14.0,0.0,17.0,0.0
1635565639.770727,10.0,0.0,14.0,0.0,16.4,0.4898979485566356
1635565645.084918,9.6,0.48989794855663565,13.6,0.48989794855663565,16.0,0.0
1635565650.368261,9.0,0.0,13.0,0.0,16.0,0.0
1635565655.655038,10.0,0.0,14.0,0.0,16.0,0.0
1635565660.92503,10.0,0.0,14.0,0.0,16.0,0.0
1635565666.187171,9.4,0.48989794855663565,13.2,0.7483314773547883,16.2,0.4
1635565671.446978,9.0,0.0,12.0,0.0,17.0,0.0
1635565676.77322,9.0,0.0,13.0,0.0,17.0,0.0
1635565682.040239,9.0,0.0,12.6,0.48989794855663565,16.0,0.0
1635565687.329442,9.0,0.0,13.0,0.0,16.0,0.0
1635565692.758058,9.0,0.0,12.4,0.48989794855663565,15.4,0.48989794855663565
1635565698.057761,9.0,0.0,12.0,0.0,15.0,0.0
1635565703.340664,9.0,0.0,12.0,0.0,15.2,0.4
1635565708.618897,9.0,0.0,13.0,0.0,16.6,0.4898979485566356
1635565713.864503,9.0,0.0,13.0,0.0,17.0,0.0
1635565719.129619,9.0,0.0,13.0,0.0,16.8,0.4
1635565724.403798,9.0,0.0,13.0,0.0,16.0,0.0
1635565729.674404,9.0,0.0,13.0,0.0,16.0,0.0
1635565734.919975,9.0,0.0,13.0,0.0,16.6,0.4898979485566356
1635565740.191769,9.0,0.0,13.0,0.0,17.0,0.0
1635565745.448122,9.0,0.0,13.0,0.0,17.0,0.0
1635565750.893905,9.0,0.0,13.0,0.0,18.0,0.0
1635565756.201037,10.0,0.8944271909999159,13.4,0.48989794855663565,18.0,0.0
1635565761.438481,10.6,0.48989794855663565,13.6,0.48989794855663565,17.2,0.7483314773547883
1635565766.696366,10.0,0.0,13.0,0.0,15.6,0.48989794855663565
1635565771.931436,10.0,0.0,13.0,0.0,16.0,0.0
1635565777.198612,10.0,0.0,13.0,0.0,16.0,0.0
1635565782.46127,10.0,0.0,13.0,0.0,16.0,0.0
1635565787.740803,10.0,0.0,13.0,0.0,16.0,0.0
1635565792.979481,9.8,0.4,13.0,0.0,16.2,0.4
1635565798.226065,9.8,0.39999999999999997,13.8,0.39999999999999997,17.0,0.0
1635565803.519901,9.0,0.0,13.0,0.0,17.0,0.0
1635565808.801451,9.4,0.48989794855663565,13.4,0.48989794855663565,17.0,0.0
1635565814.062373,9.0,0.0,13.0,0.0,16.6,0.4898979485566356
1635565819.327597,9.0,0.0,13.0,0.0,16.0,0.0
1635565824.629794,9.0,0.0,13.0,0.0,16.0,0.0
1635565829.939538,9.0,0.0,12.0,0.0,16.0,0.0
1635565835.191384,9.0,0.0,12.0,0.0,15.4,0.48989794855663565
1635565840.41787,9.0,0.0,12.0,0.0,16.0,0.0
1635565845.704261,9.0,0.0,12.0,0.0,16.4,0.4898979485566356
